Tweet,Location,URL
"- Te ves bien crudo, ¿estuvo bueno el fin? - No, es que todavía no me recupero del cringe, pena ajena, ñáñaras y no sé qué más me dio cuando vi el anuncio de los ""Influencers"" por el Borrego. ","Hermosillo, Sonora.",https://twitter.com/user/status/1396886811629211654
"""¿Por qué no eres como las demás niñas?"" 

Cómo me saco esas palabras de la cabeza?","Morelos, México",https://twitter.com/user/status/1398865463933870083
"""Cuando tomé las pastillas yo quería matar a alguien que detestaba. No sabía que existían, dentro de mí, otras Veronikas a las que yo sabría amar. -¿Qué es lo que hace que una persona se deteste a sí misma?""","Puebla, México",https://twitter.com/user/status/1387649166822629380
"""El amor incondicional no existe, estoy obligada a cuidar a una persona"" Mujer confiesa que odia ser madre https://t.co/gLEQNno01J",Nuevo Laredo,https://twitter.com/user/status/1393272491553038340
"""Es increíble la cantidad de niñas y de niños que se tienen que cuidar solos en estos contextos, es imposible saber si la enfermedad o la realidad que viven es lo que les quita la infancia y los hace adultos inmediatos”",Ciudad de México,https://twitter.com/user/status/1398858264369156097
"""Leer sin reflejar es como comer sin digerir"" Edmund Burke","Puebla, México",https://twitter.com/user/status/1399128485818368000
"""Mamá"" es la primer palabra que aprendemos a decir y es la que más decimos a lo largo de nuestra vida, si tienes la dicha de llegar a casa y tener en la mesa un plato de comida caliente de esa mujer tan especial, eres afortunado, cuídala por qué cuando se van, ya nada es igual.","Chiapas, Mx",https://twitter.com/user/status/1391975040716005378
"""Me pongo romántico y te pones mamona"" es la frase que define que pedo con la que me gusta jajajajajajajajaja https://t.co/2YIyGAEpDy","Toluca, México",https://twitter.com/user/status/1390061121814601734
"""Sí sus equipos no llegaron a la final mejor cállense"" —Panchito, secundaria trunca, 21 años, no conoce el mar, ni ha viajado en avión.","Mineral de la Reforma, Hidalgo",https://twitter.com/CHICHAROCKER/status/412394360123035648
"""Sueños de la infancia "" a través de @elbotanerohmo 

Suscribete y checalo ??

https://t.co/5HPqCDps36 https://t.co/HjLnME1lP2","Hermosillo, Son",https://twitter.com/user/status/1397185915265589249
"#Alsegundomx ? Crean neuronas artificiales que pueden “leer“ ondas cerebrales
Link ?? https://t.co/Lm3VKPF3zC https://t.co/oUtwDrJzUK","Hermosillo, Sonora",https://twitter.com/user/status/1397960197738426371
"#amlo otra vez violando la ley, parece que le gusta y le da placer hacerlo, necesitamos que el #INE aplique lo que dicta la ley, nadie por encima.","Gto, México.",https://twitter.com/user/status/1390317181724942345
#AquíCasual escapando de la brigada para comerme un taco en mi querido Mercado Hidalgo!!! Esos olores y esos sabores me llenan el corazón de bellos recuerdos de mi infancia... #LoQueCuentaEsLaActitud,Veracruz,https://twitter.com/user/status/1398756851676811267
"#Ciencia Los científicos van a estudiar ambas especies en un intento de poder utilizar sus mecanismos de adaptación 
https://t.co/Foo3hv8Kgh",Coahuila de Zaragoza,https://twitter.com/user/status/1398217494377152512
"#cuandomeviolaron la misma mamá y hermana de ese cerdo asqueroso, terminaron de arrastrar mi honra y buen nombre por todo el municipio donde trabajo, decían que ese maldito y yo, éramos amantes ","La Paz, México",https://twitter.com/user/status/1393219462132797448
"#EDUCACIÓN En #Culiacán, ahora los hijos de los trabajadores de la ","Sinaloa, México",https://twitter.com/user/status/1397955758399148037
"#Espectáculos: Oprah habló sobre una situación personal que arruinó su infancia de manera instantánea

https://t.co/FbkzOzYcdg","Saltillo, Coahuila de Zaragoza",https://twitter.com/user/status/1396628261292154880
#FelizJueves #Noticia ??Esta mujer causó controversia con las declaraciones que hizo respecto a que detesta ser mamá.??,Mexico City,https://twitter.com/user/status/1392911190368600067
"#LasLetrasUnen te invita a leer vía @LeyendoAprendi 

@LasLetrasUnen https://t.co/uDt1nGh1Co","Cd. Obregón, Sonora",https://twitter.com/user/status/1397739626270400512
"#RicardoPonceAbusador Ricardo Ponce, un hombre misógino que hace ver a las mujeres como objetos de satisfacción para el, que por engaños de manipulación hace que tengan relaciones sexuales por medio de falsos retiros de ayuda. Amigas no hay que permitir que se salga con la suya??",México,https://twitter.com/ChicaIndiscred/status/1398759257957228544
"#RicardoSalinas soy mamá y utilizaría el dinero para terminar el cuarto de mi hijo y el baño que está en obra negra, solo tenemos 2 cuartitos, pero quiero que mi niño tenga su espacio, además que me ayudaria a pagar sus terapias y medicamentos ya que tiene autismo",México df,https://twitter.com/user/status/1391863465178923013
"#Rimming, es el delicioso arte de chupar con labios y lengua el borde anal de tu pareja. Y créenos, ¡es demasiado placer! Y una excelente opción para iniciar en el mundo del placer anal. ¡En verdad! Abre tu mente Por eso abrimos #hilo de ¿Cómo besar un anito?#sexualidad",Mexico,https://twitter.com/meibi_mx/status/1392992593345236995
(la de vestido azul) y lo único que no me gusta es que la otra señora bien gandalla le arrebata todo de las manos ,"León, Guanajuato",https://twitter.com/user/status/1387825350491639812
"(paterna), Doña Judi cuida y reprime a quien se pase de lanza en el ambiente familiar; pero por el cariño que le tiene al hijo, le ha pasado muchas cosas, berrinches incluso, pero el hijo le compra vitaminas para que viva más y confía ciegamente en ella, vaya, amor incondicional","México, DF.",https://twitter.com/user/status/1398440215883268098
