adjetivos,estereotipos,dichos,dichos_completo,adjetivos_errores,adjetivos_limpios
abusada ,abrir patas,aguacates maduran apreton,aguacates y muchachas maduran a puro apretón,avusada ,abusada
abusadora,arcangel,arañar negra negro,"arañar a una negra, sólo un negro",avusadora,abusadora
acomedida,artesana,atole escoba casate,"con la que entienda de atole, escoba y metate, con ella cásate",atrebida,atrevida
adaptable,atencion,bailar vieja burro,bailar con una vieja es lo mismo que andar en burro F,alvorotada,alborotada
adúltera,autismo,bozo beso sabroso,"mujer con bozo, beso sabroso",alvurera,alburera
ágil,axila,caballo mujer escoger,"gallo, caballo y mujer, por la raza has de escoger",vavosa,babosa
agradable,bad bunny,caballo mujer espuela,"al caballo, con la rienda, a la mujer, con la espuela ",vandida,bandida
alborotada,barrer ,calladita ves más bonita,calladita te ves má bonita,varata,barata
alburera,cajera,curas trata reata,"mujer que con curas trata, poco amor y mucha reata",varvera,barbera
alcahueta,celulitis,dar lugar querer,"al cabo cuando ellas quieren, solitas se dan lugar ",varvie,barbie
alcoholica,cerebro,dejado caballo emballestado,"ni mujer que otro ha dejado, ni caballo emballestado",varrigona,barrigona
altanera,chocar,hembras charcos medio,"a las hembras y a los charcos, se les entra por en medio ",vastarda,bastarda
amable,cocina ,hombre cabron puta,"no tiene la culpa el hombre de ser cabrón, cuando la mujer es puta",vasura,basura
amante,cocinera,jalan mujeres coches,jalan más las mujeres que los coches,vella,bella
anorexica,conductora,maduran caen,"cuando maduran, caen todas",verrinchuda,berrinchuda
apretada,consentimiento,mona seda queda,"aunque la mona se vista de seda, mona se queda",vestia,bestia
arguendera,contadora,mujer amor dinero,"a la mujer, ni todo el amor ni todo el dinero ",vichota,bichota
arrastrada,cuerpo,mujer charcos rodeos,"a la mujer y a los charcos, no hay que andarles con rodeos",vizcocho,bizcocho
arrogante,dar a desear,mujer gato ingrato,"entre la mujer y el gato, ni a cuál ir de más ingrato",vova,boba
atontada,dar a respetar,mujer guitarra toca,"la mujer y la guitarra, son de quien las toca ",vomvon,bombon
atrevida,dar su lugar,mujer ladron ocasión,"a la mujer y al ladrón, quitarles la ocasión ",vorracha,borracha
autista,dar vida,mujer mula dura,"A la mujer y a la mula, vara dura",vruja,bruja
aventada,embarazo,mujer quehaceres ,"la mujer, en sus quehaceres, para eso son las mujere",vruta,bruta
avergonzada,enemigas,mujer traidor vino,"sin contar a la mujer, lo más traidor es el vino",vuchona,buchona
babosa,enferma,mujer valga nalga,"busca mujer por lo que valga, y no sólo por la nalga",vuena para nada,buena para nada
bandida,enfermedad mental,mula mujer caso,"cuando la mula dice ""no paso"" y la mujer ""me caso"", la mula no pasa y la mujer se casa ",vuenona,buenona
barata,enfermera,noche pasea fea,"mujer que de noche se pasea, es muy puta, vieja o fea ",vufona,bufona
barbera,estudiar,prietas mulas buenas,"prietitas, hasta las mulas son buena",vulimica,bulimica
barbie,falta amor,prima se le arrima ,"a la tía se apalea; a la prima se le arrima; a la hermana, con más ganas F",cavezona,cabezona
barrigona,falta atencion,ramera ballena cabe,"a la ramera y a la ballena, todo les cabe y nada les llena ",cavrona,cabrona
bastarda,falta cariño,sucios  lavan casa,los trapos sucios se lavan en casa,belluda,velluda
basura,falta de atención,suerte fea bonita,la suerte de la fea la bonita la desea,abentada,aventada
bella,falta papa,taco ojo,echarnos un taco de ojo,bengatiba,vengativa
berrinchuda,gustos musicales,tortilla mujer caliente,"la tortilla y la mujer, se han de comer en caliente, pues si las dejas enfriar, ni el diablo les mete el diente ",bibora,vivora
bestia,hombre,vergüenza mujer vestido,la vergüenza en la mujer se conoce en el vestido ,bíctima ,víctima
bichota,Ingeniera,,,bieja,vieja
